PO_ID,Supplier_ID,Order_Date,Requested_Delivery_Date,Promised_Lead_Time_days,Delivery_Date,Order_Status,Quantity_Ordered,Quantity_Delivered,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Reason_for_delay,Region,Item_Category,Urgency,Recorded_Communication_ResponseTime_hrs,Capacity_per_month,Min_Order_Qty,Max_Order_Qty,Shipping_Delay_days,Defective_Rate,Product_Quality,Product_Quality_Encoded,Delivery_Delay_days
PO_00001,SUPP_0108,2023-11-05,2023-11-23,18,,Cancelled,2732,0,65.67,65.64,0.0,Yes,,Kochi,MRO,Critical,19.1,3675,186,5882,,0.0,High Quality,2,0.0
PO_00002,SUPP_0145,2023-06-20,2023-07-04,14,,Cancelled,490,0,34.28,33.46,0.0,Yes,,Baypur,Raw_Materials,Urgent,17.4,3587,73,2335,,0.0,High Quality,2,0.0
PO_00003,SUPP_0067,2022-07-29,2022-08-13,15,2022-08-14,Delivered,3004,3264,60.12,59.32,67.0,Yes,Customs,Palakkad,Raw_Materials,Normal,7.0,1159,196,3369,1.0,0.020526960784313725,Medium Quality,1,1.0
PO_00004,SUPP_0068,2023-02-10,2023-03-03,21,2023-03-03,Delivered,4047,4328,51.65,48.61,94.0,Yes,,Palakkad,Components,Normal,24.7,2486,196,5219,0.0,0.021719038817005546,Medium Quality,1,0.0
PO_00005,SUPP_0077,2023-04-14,2023-05-04,20,2023-05-04,Delivered,4229,453,45.86,41.94,7.0,Yes,,Palakkad,Packaging,Urgent,37.7,4590,58,5304,0.0,0.01545253863134658,Medium Quality,1,0.0
PO_00006,SUPP_0019,2022-01-10,2022-01-21,11,,Cancelled,5260,0,107.39,97.68,0.0,No,,Aluva,MRO,Urgent,35.6,3652,99,5943,,0.0,Low Quality,0,0.0
PO_00007,SUPP_0145,2022-04-13,2022-04-28,15,2022-05-05,Delivered,1615,1026,47.55,48.35,19.0,Yes,Logistics,Baypur,Raw_Materials,Critical,25.1,3587,73,2335,7.0,0.018518518518518517,Medium Quality,1,7.0
PO_00008,SUPP_0055,2023-06-03,2023-06-13,10,2023-06-13,Delivered,1527,2018,90.81,83.15,38.0,Yes,,Baypur,MRO,Urgent,27.2,3804,162,3853,0.0,0.018830525272547076,Medium Quality,1,0.0
PO_00009,SUPP_0034,2022-12-24,2023-01-07,14,2023-01-07,Delivered,4416,3670,11.24,11.02,55.0,Yes,,Kochi,Components,Normal,31.5,1304,148,4731,0.0,0.014986376021798364,Medium Quality,1,0.0
PO_00010,SUPP_0063,2023-01-14,2023-01-19,5,2023-01-19,Delivered,1361,651,51.0,52.99,13.0,Yes,,Muvattupuzha,MRO,Urgent,47.0,3431,147,2197,0.0,0.019969278033794162,Medium Quality,1,0.0
PO_00011,SUPP_0041,2023-03-25,2023-04-11,17,,Cancelled,1353,0,15.14,13.91,0.0,Yes,,Muvattupuzha,Components,Critical,12.9,4691,181,3757,,0.0,High Quality,2,0.0
PO_00012,SUPP_0078,2023-09-19,2023-10-12,23,2023-10-12,Delivered,3572,1452,73.94,72.62,31.0,Yes,,Kochi,Components,Critical,3.1,3670,196,4863,0.0,0.02134986225895317,Medium Quality,1,0.0
PO_00013,SUPP_0136,2022-01-09,2022-01-25,16,2022-01-25,Delivered,3154,492,19.62,19.61,8.0,Yes,,Kochi,Packaging,Critical,20.3,2179,135,4744,0.0,0.016260162601626018,Medium Quality,1,0.0
PO_00014,SUPP_0142,2022-11-03,2022-11-20,17,2022-11-20,Delivered,3511,1768,95.83,94.65,37.0,No,,Baypur,Packaging,Critical,42.2,3349,187,4809,0.0,0.02092760180995475,Low Quality,0,0.0
PO_00015,SUPP_0027,2022-05-18,2022-06-04,17,2022-06-04,Delivered,2330,510,96.14,98.85,11.0,Yes,,Baypur,Packaging,Urgent,40.6,3068,137,3152,0.0,0.021568627450980392,Medium Quality,1,0.0
PO_00016,SUPP_0030,2022-04-20,2022-05-07,17,,Cancelled,2242,0,46.9,47.33,0.0,No,,Kothamanglam,Raw_Materials,Critical,41.6,4061,90,5099,,0.0,Low Quality,0,0.0
PO_00017,SUPP_0142,2022-06-09,2022-06-30,21,2022-07-01,Delivered,3823,1647,102.39,95.03,28.0,Yes,Customs,Baypur,Packaging,Urgent,45.8,3349,187,4809,1.0,0.01700060716454159,Medium Quality,1,1.0
PO_00018,SUPP_0054,2022-12-18,2023-01-04,17,2023-01-07,Delivered,1968,632,14.08,14.22,12.0,Yes,Raw_Material_Shortage,Palakkad,MRO,Critical,39.4,4243,145,3495,3.0,0.0189873417721519,Medium Quality,1,3.0
PO_00019,SUPP_0068,2023-06-02,2023-06-18,16,2023-06-21,Delivered,4915,2044,53.9,53.2,47.0,Yes,Weather,Palakkad,Components,Urgent,43.4,2486,196,5219,3.0,0.02299412915851272,Medium Quality,1,3.0
PO_00020,SUPP_0014,2022-04-05,2022-04-11,6,2022-04-11,Delivered,2549,1425,91.57,91.37,29.0,Yes,,Aluva,Packaging,Critical,30.2,3388,67,4435,0.0,0.020350877192982456,Medium Quality,1,0.0
PO_00021,SUPP_0109,2022-10-11,2022-11-03,23,2022-11-04,Delivered,2319,225,91.4,85.79,1.0,Yes,Logistics,Muvattupuzha,Packaging,Normal,17.3,4841,88,3500,1.0,0.0044444444444444444,High Quality,2,1.0
PO_00022,SUPP_0086,2022-05-14,2022-05-29,15,2022-05-29,Delivered,830,2228,53.35,51.41,43.0,Yes,,Aluva,MRO,Critical,33.7,4993,70,2815,0.0,0.019299820466786355,Medium Quality,1,0.0
PO_00023,SUPP_0068,2022-06-15,2022-07-14,29,2022-07-14,Delivered,867,4384,24.97,25.51,64.0,Yes,,Palakkad,Components,Critical,9.3,2486,196,5219,0.0,0.014598540145985401,Medium Quality,1,0.0
PO_00024,SUPP_0114,2023-07-19,2023-08-13,25,2023-08-13,Delivered,2584,714,87.7,90.48,12.0,No,,Palakkad,Raw_Materials,Critical,23.6,4995,191,2971,0.0,0.01680672268907563,Low Quality,0,0.0
PO_00025,SUPP_0110,2023-07-29,2023-08-24,26,,Cancelled,2472,0,24.29,24.13,0.0,No,,Aluva,Raw_Materials,Normal,41.8,3306,75,3890,,0.0,Low Quality,0,0.0
PO_00026,SUPP_0029,2022-03-19,2022-03-31,12,2022-03-31,Delivered,720,384,91.8,93.16,5.0,Yes,,Aluva,Packaging,Critical,40.7,891,82,2378,0.0,0.013020833333333334,Medium Quality,1,0.0
PO_00027,SUPP_0039,2023-07-13,2023-07-28,15,2023-07-28,Delivered,1327,2018,34.46,34.23,34.0,Yes,,Baypur,Packaging,Normal,42.9,1984,112,2863,0.0,0.01684836471754212,Medium Quality,1,0.0
