PO_ID,Supplier_ID,Order_Date,Requested_Delivery_Date,Promised_Lead_Time_days,Delivery_Date,Order_Status,Quantity_Ordered,Quantity_Delivered,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Reason_for_delay,Region,Item_Category,Urgency,Recorded_Communication_ResponseTime_hrs,Capacity_per_month,Min_Order_Qty,Max_Order_Qty,Shipping_Delay_days,Defective_Rate,Product_Quality,Product_Quality_Encoded,Delivery_Delay_days,Item_Category_ID,Product_Quality_ID
PO_00001,SUPP_0108,05-11-2023,23-11-2023,18,,Cancelled,2732,0,65.67,65.64,0,Yes,,Kochi,MRO,Critical,19.1,3675,186,5882,,0,High Quality,2,0,0,0
PO_00002,SUPP_0145,20-06-2023,04-07-2023,14,,Cancelled,490,0,34.28,33.46,0,Yes,,Baypur,Raw_Materials,Urgent,17.4,3587,73,2335,,0,High Quality,2,0,1,0
PO_00003,SUPP_0067,29-07-2022,13-08-2022,15,14-08-2022,Delivered,3004,3264,60.12,59.32,67,Yes,Customs,Palakkad,Raw_Materials,Normal,7,1159,196,3369,1,0.020526961,Medium Quality,1,1,1,1
PO_00004,SUPP_0068,10-02-2023,03-03-2023,21,03-03-2023,Delivered,4047,4328,51.65,48.61,94,Yes,,Palakkad,Components,Normal,24.7,2486,196,5219,0,0.021719039,Medium Quality,1,0,2,1
PO_00005,SUPP_0077,14-04-2023,04-05-2023,20,04-05-2023,Delivered,4229,453,45.86,41.94,7,Yes,,Palakkad,Packaging,Urgent,37.7,4590,58,5304,0,0.015452539,Medium Quality,1,0,3,1
PO_00006,SUPP_0019,10-01-2022,21-01-2022,11,,Cancelled,5260,0,107.39,97.68,0,No,,Aluva,MRO,Urgent,35.6,3652,99,5943,,0,Low Quality,0,0,0,2
PO_00007,SUPP_0145,13-04-2022,28-04-2022,15,05-05-2022,Delivered,1615,1026,47.55,48.35,19,Yes,Logistics,Baypur,Raw_Materials,Critical,25.1,3587,73,2335,7,0.018518519,Medium Quality,1,7,1,1
PO_00008,SUPP_0055,03-06-2023,13-06-2023,10,13-06-2023,Delivered,1527,2018,90.81,83.15,38,Yes,,Baypur,MRO,Urgent,27.2,3804,162,3853,0,0.018830525,Medium Quality,1,0,0,1
PO_00009,SUPP_0034,24-12-2022,07-01-2023,14,07-01-2023,Delivered,4416,3670,11.24,11.02,55,Yes,,Kochi,Components,Normal,31.5,1304,148,4731,0,0.014986376,Medium Quality,1,0,2,1
PO_00010,SUPP_0063,14-01-2023,19-01-2023,5,19-01-2023,Delivered,1361,651,51,52.99,13,Yes,,Muvattupuzha,MRO,Urgent,47,3431,147,2197,0,0.019969278,Medium Quality,1,0,0,1
PO_00011,SUPP_0041,25-03-2023,11-04-2023,17,,Cancelled,1353,0,15.14,13.91,0,Yes,,Muvattupuzha,Components,Critical,12.9,4691,181,3757,,0,High Quality,2,0,2,0
PO_00012,SUPP_0078,19-09-2023,12-10-2023,23,12-10-2023,Delivered,3572,1452,73.94,72.62,31,Yes,,Kochi,Components,Critical,3.1,3670,196,4863,0,0.021349862,Medium Quality,1,0,2,1
PO_00013,SUPP_0136,09-01-2022,25-01-2022,16,25-01-2022,Delivered,3154,492,19.62,19.61,8,Yes,,Kochi,Packaging,Critical,20.3,2179,135,4744,0,0.016260163,Medium Quality,1,0,3,1
PO_00014,SUPP_0142,03-11-2022,20-11-2022,17,20-11-2022,Delivered,3511,1768,95.83,94.65,37,No,,Baypur,Packaging,Critical,42.2,3349,187,4809,0,0.020927602,Low Quality,0,0,3,2
